dataset,subject,n_trials,n_channels,n_bands,tau,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Lee2019-MI,33,100,62,5,0.015,1.3625052438516208,0.24693266858247953,0.4691887992643685,0.027625163296168376,4,1,0,0.2458;0.0744;0.1279;0.0828;0.4692,0.1987;0.2728;0.1703;0.1637;0.1569,0.8,0.76,0.72,0.7300000000000001,0.72,-0.08000000000000007,0.0,0.86,0.95,0.8699999999999999,0.8699999999999999,0.0
Lee2019-MI,34,100,62,5,0.015,0.8502523418501852,0.7591855705839151,0.7388436200616446,0.05086182620383658,2,0,0,0.1625;0.0249;0.7388;0.0489;0.0249,0.1546;0.0589;0.0962;0.1538;0.0806,0.57,0.54,0.53,0.53,0.5,-0.039999999999999925,0.0,0.5900000000000001,0.55,0.6,0.6,0.0
Lee2019-MI,35,100,62,5,0.015,0.09772585583910146,1.5117120565949989,0.984611345963346,0.1081371844312072,0,3,0,0.9846;0.0007;0.0049;0.0029;0.0069,0.3158;0.3198;0.2754;0.3386;0.3172,0.95,0.96,0.9400000000000001,0.9199999999999999,0.9199999999999999,-0.009999999999999898,0.010000000000000009,0.95,0.97,0.9700000000000001,0.9700000000000001,0.0
Lee2019-MI,36,100,62,5,0.015,1.2880463004378142,0.3213916119962861,0.564695207455591,0.02494112048712564,3,0,0,0.1071;0.1071;0.1071;0.5647;0.1141,0.4464;0.3076;0.3580;0.3297;0.2524,0.96,0.95,0.95,0.9200000000000002,0.9,-0.010000000000000009,0.0,0.97,0.99,0.97,0.97,0.0
Lee2019-MI,37,100,62,5,0.015,1.0651396249584448,0.5442982874756555,0.6672806040864566,0.04371673980874983,1,0,0,0.0888;0.6673;0.0713;0.0362;0.1364,0.4021;0.3982;0.2268;0.2880;0.3031,0.97,0.9800000000000001,0.97,0.95,0.93,0.0,0.01000000000000012,0.99,0.9700000000000001,0.99,0.99,0.0
Lee2019-MI,38,100,62,5,0.015,0.7524461669601907,0.8569917454739095,0.7562365286712115,0.0568006683466733,0,4,0,0.7562;0.0171;0.1858;0.0222;0.0186,0.2751;0.3115;0.2975;0.2883;0.3159,0.56,0.55,0.57,0.5599999999999999,0.5800000000000001,0.009999999999999898,0.020000000000000018,0.5599999999999999,0.5599999999999999,0.5700000000000001,0.5700000000000001,0.0
Lee2019-MI,39,100,62,5,0.015,1.0554262446336669,0.5540116678004334,0.5190878000882352,0.04430680905323133,3,2,0,0.0307;0.0271;0.3767;0.5191;0.0465,0.1871;0.1816;0.2295;0.1663;0.1418,0.76,0.78,0.74,0.6799999999999999,0.67,-0.020000000000000018,0.020000000000000018,0.77,0.7300000000000001,0.7500000000000001,0.7500000000000001,0.0
Lee2019-MI,40,100,62,5,0.015,0.6682383249764206,0.9411995874576797,0.8298063131503083,0.06093218645990802,0,2,0,0.8298;0.0143;0.0738;0.0325;0.0496,0.2912;0.3050;0.3150;0.2942;0.2271,0.6000000000000001,0.6299999999999999,0.6300000000000001,0.6100000000000001,0.59,0.030000000000000027,0.030000000000000027,0.62,0.54,0.62,0.62,0.0
Lee2019-MI,41,100,62,5,0.015,0.6485882076030562,0.960849704831044,0.8387306445407913,0.05197401956602987,0,0,1,0.8387;0.0262;0.0262;0.0733;0.0355,0.3265;0.2397;0.2445;0.2249;0.1431,0.6599999999999999,0.6700000000000002,0.62,0.6100000000000001,0.6100000000000001,-0.039999999999999925,0.010000000000000231,0.56,0.5799999999999998,0.6,0.6,0.0
Lee2019-MI,42,100,62,5,0.015,0.7475095357628041,0.8619283766712962,0.6846736074343751,0.06750004588806147,4,1,0,0.0127;0.0076;0.0076;0.2874;0.6847,0.1865;0.2862;0.2425;0.1832;0.2553,0.64,0.6299999999999999,0.65,0.6799999999999999,0.63,0.010000000000000009,0.039999999999999925,0.68,0.5900000000000001,0.65,0.65,0.0
