dataset,subject,n_trials,n_channels,n_bands,FBCNet,fbcnet_seconds,fbcnet_params,FBCSP,FBCSP_seconds,FBCSP-L2,FBCSP-L2_seconds,AWFBCSP-published,AWFBCSP-published_seconds,AWFBCSP-reg,AWFBCSP-reg_seconds
BNCI2014-001,1,288,22,5,0.8470659407138535,184.1064522266388,6562,0.8992740471869329,3.7484402656555176,0.8854809437386569,4.273897171020508,0.8992740471869329,4.485542058944702,0.9029038112522686,4.267774343490601
BNCI2014-001,2,288,22,5,0.5001814882032668,88.30571031570435,6562,0.6004839685420448,3.7397525310516357,0.6038717483363581,4.278083562850952,0.5970961887477314,4.480295419692993,0.621113127646703,4.278446674346924
BNCI2014-001,3,288,22,5,0.9237144585601935,200.05986070632935,6562,0.9479733817301875,3.745060682296753,0.9339987900786451,4.2805821895599365,0.9479733817301875,4.522742748260498,0.9373865698729583,4.265697002410889
BNCI2014-001,4,288,22,5,0.6736842105263158,155.45224595069885,6562,0.7885662431941924,3.736966133117676,0.7643073200241985,4.249476671218872,0.7989110707803994,4.478467226028442,0.7642468239564428,4.291587591171265
BNCI2014-001,5,288,22,5,0.5314579552329098,93.92823934555054,6562,0.726194797338173,3.7483575344085693,0.7018753781004236,4.283815860748291,0.7192377495462795,4.499863386154175,0.6807017543859649,4.2787158489227295
BNCI2014-001,6,288,22,5,0.5898971566848156,94.96414494514465,6562,0.7081669691470054,3.7476725578308105,0.7014519056261344,4.224267244338989,0.7012704174228677,4.481300354003906,0.7154264972776769,4.277772903442383
BNCI2014-001,7,288,22,5,0.6982456140350877,168.81005215644836,6562,0.8750756200846945,3.7233211994171143,0.8680580762250454,4.169082164764404,0.8680580762250454,4.412670373916626,0.8681790683605565,4.179445505142212
BNCI2014-001,8,288,22,5,0.9549909255898367,191.9403235912323,6562,0.9584392014519058,3.7449419498443604,0.9583787053841502,4.191260576248169,0.9584392014519058,4.4398651123046875,0.9480338777979431,4.182408332824707
BNCI2014-001,9,288,22,5,0.8818511796733212,151.42022228240967,6562,0.8364791288566245,3.7601935863494873,0.8050816696914701,4.25953483581543,0.8330308529945555,4.435633182525635,0.8574107683000605,4.211912393569946
BNCI2014-004,1,720,3,5,0.7569444444444444,196.55838751792908,3522,0.7125,5.0477135181427,0.7208333333333334,5.377897024154663,0.7333333333333334,5.427488088607788,0.7152777777777778,5.397071838378906
BNCI2014-004,2,680,3,5,0.5691176470588235,146.95523762702942,3522,0.5691176470588235,4.745189428329468,0.5661764705882353,5.118408679962158,0.5794117647058824,5.117884874343872,0.5647058823529412,5.062780380249023
BNCI2014-004,3,720,3,5,0.5152777777777777,153.33982467651367,3522,0.5694444444444444,5.011307716369629,0.5666666666666667,5.42943811416626,0.5722222222222222,5.413919925689697,0.5680555555555555,5.414714813232422
BNCI2014-004,4,740,3,5,0.9459459459459459,348.1887631416321,3522,0.9337837837837839,5.148464918136597,0.9378378378378379,5.521129369735718,0.9337837837837839,5.554795503616333,0.9297297297297297,5.462670087814331
BNCI2014-004,5,740,3,5,0.8594594594594595,221.21052646636963,3522,0.8513513513513512,5.173492908477783,0.85,5.548223495483398,0.8527027027027027,5.532065153121948,0.8486486486486486,5.436061859130859
BNCI2014-004,6,720,3,5,0.8041666666666668,234.05717062950134,3522,0.8083333333333333,5.059427738189697,0.8097222222222223,5.409200191497803,0.8125,5.410415887832642,0.8111111111111111,5.41261887550354
