dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Lee2019-MI,47,100,62,5,0.015,csp,0.6020498254293138,1.0073880870047864,0.8481423950169277,0.0702832915421096,2,2,1,0.0622;0.0212;0.8481;0.0078;0.0606,0.2277;0.2115;0.2668;0.1966;0.2273,0.74,0.6900000000000001,0.67,0.66,0.65,-0.06999999999999995,0.0,0.75,0.66,0.75,0.75,0.0
Lee2019-MI,48,100,62,5,0.015,csp,1.1322121481211962,0.4772257643129041,0.5994560571046705,0.04595563287891352,0,0,1,0.5995;0.0280;0.2153;0.0988;0.0585,0.2097;0.1637;0.1943;0.1827;0.1748,0.5900000000000001,0.58,0.5800000000000001,0.63,0.62,-0.010000000000000009,0.039999999999999925,0.5800000000000001,0.6100000000000001,0.61,0.61,0.0
Lee2019-MI,49,100,62,5,0.015,csp,0.42449606520941463,1.1849418472246858,0.8993636394288975,0.10164571636029188,1,1,1,0.0010;0.8994;0.0601;0.0135;0.0260,0.2387;0.3404;0.2998;0.2774;0.2872,0.8299999999999998,0.74,0.74,0.75,0.6799999999999999,-0.08999999999999986,0.0,0.8099999999999999,0.65,0.82,0.82,0.0
Lee2019-MI,50,100,62,5,0.015,csp,0.4351481586966926,1.1742897537374077,0.9026749423528879,0.08646427854646299,0,0,1,0.9027;0.0271;0.0313;0.0361;0.0028,0.3582;0.3057;0.3078;0.3099;0.2718,0.62,0.58,0.57,0.5800000000000001,0.5900000000000001,-0.050000000000000044,0.0,0.6300000000000001,0.5199999999999999,0.62,0.62,0.0
Lee2019-MI,51,100,62,5,0.015,csp,1.0004941041585156,0.6089438082755847,0.6078476624391862,0.07507036221701777,1,1,1,0.1624;0.6078;0.0041;0.2146;0.0111,0.1535;0.1733;0.0982;0.1577;0.1133,0.42000000000000004,0.43,0.44000000000000006,0.43,0.47000000000000003,0.020000000000000018,0.04999999999999999,0.48999999999999994,0.49000000000000005,0.45999999999999996,0.45999999999999996,0.0
Lee2019-MI,52,100,62,5,0.015,csp,0.9455938547969951,0.6638440576371052,0.5167618762940983,0.1707912565021443,2,2,1,0.0000;0.4106;0.5168;0.0449;0.0278,0.1769;0.3442;0.3477;0.3110;0.3038,0.7700000000000001,0.7299999999999999,0.68,0.6699999999999999,0.6699999999999999,-0.09000000000000008,0.0,0.77,0.6799999999999999,0.76,0.76,0.0
Lee2019-MI,53,100,62,5,0.015,csp,0.7296643837822591,0.8797735286518412,0.6288108532635863,0.13521673204094906,0,0,1,0.6288;0.0020;0.0132;0.3559;0.0001,0.2597;0.1734;0.2018;0.2512;0.1245,0.5700000000000001,0.6199999999999999,0.63,0.65,0.66,0.05999999999999994,0.08999999999999997,0.57,0.63,0.5800000000000001,0.5800000000000001,0.0
Lee2019-MI,54,100,62,5,0.015,csp,0.6583309798317253,0.951106932602375,0.7316175513835078,0.08474458673438276,0,0,1,0.7316;0.2517;0.0113;0.0026;0.0028,0.1602;0.1442;0.0976;0.0755;0.0768,0.5900000000000001,0.55,0.5399999999999999,0.5599999999999999,0.54,-0.050000000000000155,0.0,0.5700000000000001,0.4999999999999999,0.5700000000000001,0.5700000000000001,0.0
Cho2017,1,200,64,5,0.015,csp,0.8456366244953519,0.7638012879387484,0.7476993099829178,0.052051958554703986,4,4,1,0.0233;0.1417;0.0236;0.0637;0.7477,0.1474;0.1746;0.1477;0.1625;0.1995,0.675,0.62,0.61,0.605,0.5700000000000001,-0.06500000000000006,0.0,0.6599999999999999,0.725,0.6599999999999999,0.6599999999999999,0.0
Cho2017,2,200,64,5,0.015,csp,1.2496932119288822,0.3597447005052181,0.42436076817565094,0.04538208226471688,2,2,1,0.3684;0.0727;0.4244;0.1140;0.0206,0.1015;0.0772;0.1036;0.0839;0.0582,0.525,0.5650000000000001,0.5650000000000001,0.5850000000000001,0.5800000000000001,0.040000000000000036,0.06000000000000005,0.525,0.575,0.525,0.525,0.0
