dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Lee2019-MI,31,100,62,7,0.015,csp,0.5343361570803766,1.4115739919749366,0.8650832909805923,0.10610978402217286,2,2,1,0.0069;0.0053;0.8651;0.0246;0.0007;0.0064;0.0910,0.2731;0.2690;0.3455;0.2921;0.2394;0.2718;0.3117,0.76,0.74,0.7,0.69,0.6799999999999999,-0.06000000000000005,0.0,0.8,0.7200000000000001,0.79,0.79,0.0
Lee2019-MI,32,100,62,7,0.015,csp,0.19334639444194326,1.7525637546133699,0.9594207489545108,0.16631807210053567,2,2,1,0.0003;0.0334;0.9594;0.0011;0.0000;0.0057;0.0000,0.2666;0.3354;0.3858;0.2842;0.2195;0.3090;0.2242,0.8699999999999999,0.9099999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.050000000000000044,0.050000000000000044,0.8600000000000001,0.96,0.85,0.85,0.0
Lee2019-MI,33,100,62,7,0.015,csp,0.21229535197805638,1.7336147970772569,0.9579998405248317,0.15655209623634592,2,2,1,0.0035;0.0068;0.9580;0.0010;0.0007;0.0299;0.0000,0.1887;0.1987;0.2728;0.1703;0.1637;0.2208;0.1163,0.82,0.86,0.8699999999999999,0.8700000000000001,0.8400000000000001,0.04999999999999993,0.050000000000000155,0.8799999999999999,0.95,0.9,0.9,0.0
Lee2019-MI,34,100,62,7,0.015,csp,1.1956681236894011,0.7502420253659121,0.5497811817036813,0.11260574800515341,5,5,1,0.0012;0.1775;0.0003;0.0036;0.1684;0.5498;0.0992,0.0792;0.1546;0.0589;0.0962;0.1538;0.1715;0.1459,0.56,0.56,0.5700000000000001,0.5399999999999999,0.5499999999999999,0.010000000000000009,0.010000000000000009,0.5700000000000001,0.5599999999999999,0.58,0.58,0.0
Lee2019-MI,35,100,62,7,0.015,csp,1.2634883701229187,0.6824217789323945,0.574522994492824,0.07969994953351145,4,4,1,0.0028;0.1263;0.1645;0.0085;0.5745;0.0329;0.0904,0.2589;0.3158;0.3198;0.2754;0.3386;0.2957;0.3108,0.9800000000000001,0.9400000000000001,0.93,0.89,0.8800000000000001,-0.050000000000000044,0.0,0.9800000000000001,0.9400000000000001,0.9800000000000001,0.9800000000000001,0.0
Lee2019-MI,36,100,62,7,0.015,csp,0.04259585643862826,1.903314292616685,0.9940603104025969,0.17840098292948703,1,1,1,0.0026;0.9941;0.0001;0.0028;0.0004;0.0000;0.0001,0.3570;0.4464;0.3076;0.3580;0.3297;0.2680;0.3082,0.96,0.99,0.99,1.0,1.0,0.030000000000000027,0.040000000000000036,0.9800000000000001,0.99,0.9800000000000001,0.9800000000000001,0.0
Lee2019-MI,37,100,62,7,0.015,csp,0.7981134232876383,1.1477967257676749,0.5474604404455016,0.3383582326728787,1,1,1,0.0000;0.5475;0.4235;0.0000;0.0003;0.0287;0.0000,0.0637;0.4021;0.3982;0.2268;0.2880;0.3578;0.2498,0.96,0.9700000000000001,0.9700000000000001,0.9700000000000001,0.9800000000000001,0.01000000000000012,0.02000000000000013,0.99,0.9800000000000001,0.99,0.99,0.0
Lee2019-MI,38,100,62,7,0.015,csp,1.5344236170141674,0.4114865320411458,0.3434778723067854,0.048907643594948036,5,5,1,0.0132;0.0303;0.3413;0.1342;0.0729;0.3435;0.0646,0.2627;0.2751;0.3115;0.2975;0.2883;0.3116;0.2865,0.5700000000000001,0.5,0.5,0.5,0.5,-0.07000000000000006,0.0,0.6,0.5599999999999999,0.6199999999999999,0.6199999999999999,0.0
Lee2019-MI,39,100,62,7,0.015,csp,0.6079955615017177,1.3379145875535956,0.8627051986631393,0.09069242194652374,3,3,1,0.0113;0.0511;0.0353;0.8627;0.0127;0.0020;0.0248,0.1645;0.1871;0.1816;0.2295;0.1663;0.1388;0.1763,0.7300000000000001,0.7500000000000001,0.75,0.7400000000000001,0.71,0.019999999999999907,0.020000000000000018,0.72,0.75,0.6799999999999999,0.6799999999999999,0.0
Lee2019-MI,40,100,62,7,0.015,csp,1.3129831689610816,0.6329269800942317,0.49151934668206,0.10126512416780914,3,3,1,0.0006;0.1007;0.2521;0.4915;0.1230;0.0278;0.0044,0.2137;0.2912;0.3050;0.3150;0.2942;0.2719;0.2442,0.62,0.63,0.63,0.5900000000000001,0.5800000000000001,0.010000000000000009,0.010000000000000009,0.6199999999999999,0.54,0.64,0.64,0.0
