dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
BNCI2014-001,1,5,22,288,1,0.8747126436781609,0.256745311554749,0.7361;0.8747;0.6180;0.7325;0.8577,1,1,0.3,0.43543061859915094,1.4075631228473928,0.03046025697355163,0.0,1,1,0.39999999999999997,0.2407859897849851,1.597039201203003,0.013022919972829249,0.0,1,1,0.9999999999999999,0.7719883137869433,0.7241301840249683,0.14478531632922284,0.0
BNCI2014-001,2,5,22,288,2,0.6283726557773744,0.09751966122202049,0.5798;0.6005;0.6284;0.5555;0.5309,3,0,0.3,0.628695983205296,1.1482469677301803,0.036877813134172564,0.0728372655777374,0,0,-0.3,0.2387796589616371,1.5992595090155224,0.015472498982028092,0.04857834240774339,1,0,0.7999999999999999,0.5250867417408525,1.2678545790750797,0.050589869170378554,0.027828191167574068
BNCI2014-001,3,5,22,288,0,0.961826981246219,0.36122202056866304,0.9618;0.7779;0.6388;0.8749;0.6006,2,0,-0.49999999999999994,0.3063748268250742,1.5706139253947198,0.01697413223522304,0.32304900181488216,0,1,0.7,0.399212266357143,1.4539770541419381,0.030210111057049484,0.0,0,1,0.8999999999999998,0.9988757128596784,0.009166750747892315,0.23584802259657306,0.0
BNCI2014-001,4,5,22,288,2,0.7536600120992135,0.16309739866908635,0.6738;0.6703;0.7537;0.5906;0.6112,0,0,0.0,0.34899570847296063,1.4920748304144222,0.02958443684059205,0.07985480943738654,0,0,0.3,0.3035340749958191,1.5730118966386306,0.018026796314981518,0.07985480943738654,0,0,0.7999999999999999,0.33126559595703503,1.4788218868746694,0.07199243913253936,0.07985480943738654
BNCI2014-001,5,5,22,288,4,0.7090139140955837,0.22280701754385956,0.5588;0.5729;0.5868;0.4862;0.7090,2,0,-0.19999999999999998,0.5900705302785633,1.237593909460644,0.037419665677659086,0.12220205686630348,2,0,0.6,0.2337954839034849,1.603542522107854,0.01390167195734594,0.12220205686630348,4,1,0.8999999999999998,0.5776535851164061,1.2411461214199135,0.06698008431533478,0.0
BNCI2014-001,6,5,22,288,4,0.6631578947368422,0.07979431336963094,0.6629;0.5834;0.6252;0.6496;0.6632,3,0,0.3,0.51198445113935,1.1068006008985287,0.04318254717328163,0.01355111917725349,0,0,0.7,0.241229816681014,1.603043230133919,0.016314863031967487,0.0002419842710223996,0,0,0.0,0.8722608742048021,0.5336368103965421,0.0947135442363645,0.0002419842710223996
BNCI2014-001,7,5,22,288,2,0.8192377495462795,0.2601330913490624,0.7290;0.6183;0.8192;0.7880;0.5591,3,0,0.49999999999999994,0.3616713377070457,1.5225973699204114,0.024323097450975457,0.03121597096188755,2,1,0.19999999999999998,0.2834470748304022,1.5712662060916889,0.017173602882184634,0.0,3,0,0.8999999999999998,0.5363029616536826,0.9382919659785283,0.1157474436876901,0.03121597096188755
BNCI2014-001,8,5,22,288,0,0.9411978221415607,0.21542649727767682,0.9412;0.7294;0.8786;0.8126;0.7258,0,1,0.8999999999999998,0.7439885424022833,0.9133231935131827,0.04392239166823231,0.0,0,1,0.8999999999999998,0.3406790800360603,1.5285072180973907,0.02270296397938496,0.0,0,1,0.8999999999999998,0.999451232700199,0.005052664662856907,0.2534501893670376,0.0
BNCI2014-001,9,5,22,288,0,0.8434966727162735,0.22583182093163945,0.8435;0.6177;0.7149;0.8053;0.6871,3,0,0.49999999999999994,0.8862397109178056,0.43749408302190607,0.07492105994648209,0.038173018753781096,3,0,0.7999999999999999,0.8863702422590322,0.4979031594771694,0.06890205785975054,0.038173018753781096,3,0,0.8999999999999998,0.49683010941075806,0.7476780173657078,0.15013526862964768,0.038173018753781096
BNCI2014-004,1,5,3,720,0,0.6958333333333333,0.14722222222222214,0.6958;0.6375;0.5694;0.6347;0.5486,1,0,0.49999999999999994,0.3835689735515544,1.431853022240037,0.03005083161964624,0.05833333333333335,0,1,0.8999999999999998,0.3905705943715252,1.4373130157248921,0.029629591649349418,0.0,0,1,0.8999999999999998,0.8087082186408726,0.629388274985154,0.09527757913046364,0.0
BNCI2014-004,2,5,3,680,0,0.586764705882353,0.07794117647058829,0.5868;0.5103;0.5088;0.5294;0.5632,4,0,0.6,0.43058725127377073,1.3174603452517224,0.03481959878588362,0.02352941176470591,0,1,0.39999999999999997,0.5234279529627143,1.3294952531689024,0.029616167700555085,0.0,0,1,0.49999999999999994,0.33988615096139474,1.5367178609638827,0.014865432905998621,0.0
BNCI2014-004,3,5,3,720,0,0.5597222222222222,0.09027777777777779,0.5597;0.4694;0.5028;0.5319;0.5292,3,0,0.49999999999999994,0.3073935254078934,1.5629367649368944,0.012464223120754125,0.02777777777777779,4,0,0.19999999999999998,0.30307039586476076,1.5287184370875202,0.01917568799947289,0.03055555555555567,2,0,-0.6668859288553503,0.4637286012839604,1.4308633483548314,0.01975454551320066,0.056944444444444464
BNCI2014-004,4,5,3,740,0,0.9256756756756758,0.35270270270270276,0.9257;0.6041;0.7054;0.7851;0.5730,0,1,0.9999999999999999,0.9817994954944262,0.09773976613359305,0.14478205981958356,0.0,0,1,0.8999999999999998,0.8745387148715879,0.4326868328936842,0.0919098662896775,0.0,0,1,0.9999999999999999,0.9999999927004704,1.44128928098778e-07,0.5214628743794112,0.0
BNCI2014-004,5,5,3,740,4,0.8486486486486486,0.2783783783783784,0.6486;0.6514;0.5703;0.6986;0.8486,4,1,0.9999999999999999,0.9917124277136351,0.056830400586067566,0.11727932791342092,0.0,4,1,0.9999999999999999,0.9853720353495494,0.09586922220855938,0.09480184511652334,0.0,4,1,0.9999999999999999,0.9999992229272577,1.2460288476244765e-05,0.3153680004698841,0.0
BNCI2014-004,6,5,3,720,1,0.7333333333333334,0.18472222222222234,0.7069;0.7333;0.5486;0.6472;0.6500,1,1,0.8999999999999998,0.819445849543835,0.6860118878351004,0.07221470387507474,0.0,1,1,0.8999999999999998,0.7949342032015178,0.701266673799718,0.06620921331229934,0.0,1,1,0.9999999999999999,0.951183518004276,0.22855343080126192,0.18567793163759538,0.0
BNCI2014-004,7,5,3,720,1,0.7583333333333333,0.2305555555555554,0.5889;0.7583;0.5278;0.6000;0.6056,1,1,0.8999999999999998,0.86494307991494,0.5736313148139797,0.05987942887121337,0.0,1,1,0.7,0.5026007019924946,1.325047459807375,0.03623718810712373,0.0,1,1,0.8999999999999998,0.9999970396854596,4.369793092752197e-05,0.22897005606541831,0.0
